Company Name,Legal Name,Parent Company Name,Address,City,ZIP Code,County,Phone Number Combined,Website,Linked-In,Facebook,Instagram,Executive First Name,Executive Last Name,Executive Title,Executive Gender,Executive Ethnicity,Veteran Exemption,Company Description,Column1,Primary NAICS,Primary NAICS Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,Primary SIC Code,Primary SIC Description,Last Updated On,Years In Database
Leadpost,,,555 Washington Ave # 310,Saint Louis,63101,St Louis City,(866) 456-6674,Leadpost.Com,https://www.linkedin.com/company/leadpost-llc,https://www.facebook.com/leadpostllc,,,,,,Uncoded,,Convert Up To 40% Of Your Anonymous Bounces Into Leads And Start Marketing To Them Today.,,54151107,Custom Computer Programming Services,,,,,,,737106,Programming,202607,5
Leadvalets,,,3456 California Ave # 2f,Saint Louis,63118,St Louis City,(314) 561-7101,Leadvalets.Com,https://www.linkedin.com/company/leadvalets,https://www.facebook.com/leadvalets,,J B,Floyd,President,Male,Western Europe,,Full Service Top Paid Lead Generation Agency.,,81293006,Parking Lots And Garages,54161302,Marketing Consulting Services,,,,,729964,Valet Service,202510,8
Leaf & Co,,,1380 Ferguson Ave,Saint Louis,63133,St Louis,Not Available,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202005,8
Leaf Free Lawn Care,,,5705 Theodosia Ave,Saint Louis,63112,St Louis City,(314) 339-8885,Leaffreelawncare.Com,,,,Ricky O,Owens,Owner,Male,Western Europe,,,,56173011,Landscaping Services,,,,,,,78206,Lawn & Grounds Maintenance,202607,3
Leakes Tires,,,4582 Dr Martin Luther King Dr,Saint Louis,63113,St Louis City,(314) 652-9940,,,,,,,,,Uncoded,,,,44134001,Tire Dealers,81119804,All Other Automotive Repair And Maintenance,,,,,553123,Tire-Dealers-Retail,202510,26
Leap Clixx,,,1535 S 8th St # A,Saint Louis,63104,St Louis City,(314) 641-1000,Agileandco.Com,https://www.linkedin.com/in/chansweber,https://www.facebook.com/leapclixx,,Michael,Kiel,Vice President,Male,Western Europe,,,,54189002,Other Services Related To Advertising,,,,,,,731917,Advertising-Computer,202605,14
Leather Trades Artist Lofts,,,1600 Locust St,Saint Louis,63103,St Louis City,(314) 436-6760,,,https://www.facebook.com/leathertradesartistlofts,,Shannon,Gains,Manager,Female,Western Europe,,,,53112004,Lessors Of Nonresidential Buildings (Except Miniwa,,,,,,,651202,Office Buildings & Parks,202510,16
Leawa Chop Suey,,,9983 Lewis And Clark Blvd,Saint Louis,63136,St Louis,(314) 869-8888,,,,,Allen,Yang,Owner,Male,Far Eastern,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202408,40
LED Craft,,,422 Industrial Dr,Saint Louis,63118,St Louis City,(314) 776-2909,Ledcraftinc.Com,http://www.linkedin.com/pub/led-craft/a5/625/769,http://www.facebook.com/ledcraftinc/,,Mike,Chang,Owner,Male,Far Eastern,,,,45912012,"Hobby, Toy, And Game Retailers",54181001,Advertising Agencies,,,,,594520,Crafts,202606,20
Lee's Family Laundry,,,3316 Union Blvd,Saint Louis,63115,St Louis City,(314) 385-2312,,,https://facebook.com/p/lees-family-laundry-100069036433682/,,Doug,Lee,Owner,Male,Western Europe,,,,81232002,Drycleaning And Laundry Services (Except Coin-Oper,81232001,Drycleaning And Laundry Services (Except Coin-Oper,81233104,Linen Supply,,,721201,Cleaners,202507,22
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE CHICKEN UNIT #5763,ARTEMIS RESTAURANT CORP,10090 West Florissant Ave,Saint Louis,63136,St Louis,(314) 388-2300,Leesfamousrecipe.Com,,https://facebook.com/cajunclawscatering/,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,33
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE,ARTEMIS RESTAURANT CORP,2629 S Jefferson Ave,Saint Louis,63118,St Louis City,(314) 771-9546,Leesfamousrecipe.Com,,,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,41
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE,ARTEMIS RESTAURANT CORP,5023 Natural Bridge Ave,Saint Louis,63115,St Louis City,(314) 381-4048,Leesfamousrecipe.Com,,https://facebook.com/penske,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,43
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE,ARTEMIS RESTAURANT CORP,6210 West Florissant Ave,Saint Louis,63136,St Louis City,(314) 389-9655,Leesfamousrecipe.Com,,,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,35
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE CHICKEN UNIT #5706,ARTEMIS RESTAURANT CORP,7232 Natural Bridge Rd,Saint Louis,63121,St Louis,(314) 381-7704,Leesfamousrecipe.Com,https://www.linkedin.com/company/avalotx,https://facebook.com/penske,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,41
Lee's Famous Recipe Chicken,LEE'S FAMOUS RECIPE,ARTEMIS RESTAURANT CORP,6221 Vernon Ave,Saint Louis,63130,St Louis,(314) 721-6131,Leesfamousrecipe.Com,,,,Emmett,Gamache,Owner,Male,Western Europe,,,,72251301,Limited-Service Restaurants,72251301,Limited-Service Restaurants,72232001,Caterers,,,581208,Restaurants,202605,36
Le'Fit Bras & Shapewear LLC,LE'FIT BRAS & SHAPEWEAR LLC,,2717 N 14th St,Saint Louis,63106,St Louis City,(314) 707-4599,Lefitbras.Com,,,,,,,,Uncoded,,,,45811029,Clothing And Clothing Accessories Retailers,,,,,,,563210,Lingerie,202206,7
Left Field Creative LLC,LEFT FIELD CREATIVE INC,,2020 Washington Ave # 104,Saint Louis,63103,St Louis City,(314) 773-1300,Leftfieldcreative.Com,,,,John,Simanowitz,Other,Male,Not Available,,,,54181001,Advertising Agencies,,,,,,,731101,Advertising-Agencies & Counselors,202606,6
Left Hand Promotions,,,1556 S Broadway,Saint Louis,63104,St Louis City,(314) 315-4757,Lefthandpromo.Com,https://www.linkedin.com/pub/don-beile/10/886/a75,https://www.facebook.com/pages/left-hand-promotions/677148832370213,,Don,Beile,CEO,Male,Western Europe,,"Left Hand Promotions Is A St Louis Screen Printing, T-Shirt Design, Embroidery, Custom Design Services And Promotional Products Agency IN St Louis. Contact US For All Your St Louis Promotional Product Needs. We Offer T-Shirt Screen Printing, Embroidery, And Many Other Promotional Products To Fit Your Needs.",,45811058,Clothing And Clothing Accessories Retailers,32311161,Commercial Printing (Except Screen And Books),32311301,Commercial Screen Printing,32312024,Support Activities For Printing,569912,Shirts-Custom Made,202604,13
Leftys Fried Rice LLC,LEFTYS FRIED RICE LLC,,3000 S Jefferson Ave,Saint Louis,63118,St Louis City,(314) 899-0169,Leftysfriedrice.Com,,,,,,,,Uncoded,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202604,6
Legacy General Contracting,,,10270 Meadowood Dr,Saint Louis,63114,St Louis,(314) 814-4243,Boundedpanic.Wixsite.Com,,,,,,,,Uncoded,,,,23899018,All Other Specialty Trade Contractors,,,,,,,179977,Contractors,202604,3
Legacy Home Care LLC,LEGACY HOME CARE LLC,,1100 Mona Dr,Saint Louis,63130,St Louis,Not Available,,,,,Aquira Y,Laskley,Exec Director,,Western Europe,,,,45941007,Office Supplies And Stationery Retailers,62161001,Home Health Care Services,99999005,Unclassified Establishments,,,594301,Office Supplies,202307,5
Legacy Woodworks LLC,LEGACY WOODWORKS LLC,,7205 Dorset Ave,Saint Louis,63130,St Louis,Not Available,,,,,,,,,Uncoded,,,,45912047,"Hobby, Toy, And Game Retailers",99999005,Unclassified Establishments,,,,,594547,Hobby Toy & Game Retailers,202101,8
Legal Services Of Eastern MO,LEGAL SERVICES OF EASTERN MISSOURI INC,,701 Market St # 1100,Saint Louis,63101,St Louis City,(314) 534-4200,Lsem.Org,,https://www.facebook.com/legalservicesofeasternmissouri,,Louisa,Gregory,Director,Female,Western Europe,,,,54111002,Offices Of Lawyers,54119907,All Other Legal Services,51921009,Libraries And Archives,62419012,Other Individual And Family Services,811103,Attorneys,202607,9
Legalshield Ind,,STONE POINT CAPITAL LLC,2631 Gravois Ave,Saint Louis,63118,St Louis City,(314) 347-0084,Legalshield.Com,,,,,,,,Uncoded,,,,54119907,All Other Legal Services,54111002,Offices Of Lawyers,54111015,Offices Of Lawyers,92611008,Administration Of General Economic Programs,811198,Legal Services,202504,9
Legends J Grill,,,2617 Marcus Ave,Saint Louis,63113,St Louis City,(314) 833-3838,,,,,James,Hudson,Owner,Male,Western Europe,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202603,9
Lehner Tool & Mfg Co,LEHNER TOOL & MFG CO,,5400 N Broadway,Saint Louis,63147,St Louis City,(314) 385-7345,Lehnertool.Com,,https://www.facebook.com/lehnertoolmfg,,Frank J,Lehner,Owner,Male,Western Europe,,,,33211912,"Metal Crown, Closure, And Other Metal Stamping (Ex",,,,,,,346904,Metal Stamping (Mfrs),202511,41
Leisa Collins,,,2915 Missouri Ave,Saint Louis,63118,St Louis City,(703) 598-7360,Leisacollins.Com,,https://www.facebook.com/leisacollinsart,,,,,,Uncoded,,,,71151033,"Independent Artists, Writers, And Performers",,,,,,,899912,Artists-Fine Arts,202604,9
Lelander,,,6 Cardinal Way St Louis MO,Saint Louis,63102,St Louis City,(314) 329-1007,Lelander.Com,https://www.linkedin.com/company/lelander/,https://www.facebook.com/landofdelight,,Paige,Rideout,Manager,Female,Western Europe,,"Lelander Works IN A Wide Array Of Technical Disciplines - From Software Development, To Website Development (Including Cms, Static, Ecommerce, Etc), Mobile App Development, User Experience Design And Strategy, Digital Strategy Consulting, Devops, Api Solutions, Video Game Development, Etc. We Work With Experts Across Multiple Platforms And Coding Languages To Ensure That We Can Approach Each Project With A Fresh Perspective And Create A Solution That Fits Your Specific Needs.",,51321003,Software Publishers,,,,,,,737204,Accounting Software & Solutions,202605,11
Lemelle Vann-Turbotax Full Svc,,,401 Pine St,Saint Louis,63102,St Louis City,(636) 674-8727,Turbotax.Intuit.Com,,,,Le Melle,Vann,,Female,Not Available,,"Turbotax Full Service Tax Experts IN St. Louis Can Do Your Personal OR Business Taxes From Start To Finish. Get The Convenience Of A Local Tax Preparer And The Confidence That Your Taxes Are Done Right, Guaranteed. Our St. Louis Tax Experts Provide Personalized Filing Help For Your Unique Tax Situation. Whether Your Tax Return Is Straightforward OR Complex, Our Tax Professionals Will Maximize Your Deductions, To Make Sure You Get Every Dollar You Deserve. Take The Stress Out Of Doing Your Taxes By Working With A Local Tax Expert. Book An Appointment Online Now With A Full Service Tax Expert OR Call US To Schedule An Appointment At Our Office Located At 401 Pine St, St. Louis, MO 63102, St. Louis, MO, 63102.",,54121910,Other Accounting Services,54121301,Tax Preparation Services,,,,,872105,Tax Consultants,202604,1
Lemon Grass Restaurant,LEMON GRASS RESTAURANT INC,,3161 S Grand Blvd,Saint Louis,63118,St Louis City,(314) 664-6702,Lemongrass-Rest.Com,,,,Jennifer,Ngo,Owner,Female,Far Eastern,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202606,30
Lemp Brewery Complex,,,3500 Lemp Ave,Saint Louis,63118,St Louis City,(314) 577-0405,Lempbrewerycomplex.Com,,,,Shashi,Palamand,Owner,Female,South Asian,,,,53112004,Lessors Of Nonresidential Buildings (Except Miniwa,,,,,,,651202,Office Buildings & Parks,202603,27
Lemp Mansion Restaurant & Inn,LEMP MANSION RESTAURANT & INN INC,,3322 Demenil Pl,Saint Louis,63118,St Louis City,(314) 664-8024,Lempmansion.Com,,,,Paul,Pointer,Owner,Male,Western Europe,,,,45521947,All Other General Merchandise Retailers,72251117,Full-Service Restaurants,72232001,Caterers,72119101,Bed-And-Breakfast Inns,599940,Wedding Supplies & Services,202605,43
Lena Hampton-Intuit Turbotax,,,12450 Lusher Rd,Saint Louis,63138,St Louis,(314) 925-9247,Pros.Turbotax.Intuit.Com,,,,Lena,Hampton,,Female,Western Europe,,"Mastermind Tax Servicesmy Name Is Lena Hampton, I Have Been Preparing Taxes Since I Received My First W-2 From Jack IN The Box At The Age Of 16; I Also Prepared My Mothers Taxes Throughout High School. While So Many Dread Tax Season, I Love To See What Has Changed And How I Can Help My Clients. I Have A B.S. IN Accounting , An Mba, And I Became A Licensed Cpa IN 2015. I Have Worked For Over 18 Years As An Accountant And Financial Analyst For The Federal Government. Mastermind Tax Services Came From My Desire To Continue To Pursue My Love Of Taxes On My Own Terms. It Is My Goal To Not Only Offer Affordable Professional Tax Preparation, But Also To Educate So That Individuals May Better Understand Their Tax Situation And The Factors That Determine Your Refund. Please Give ME A Chance To Utilize My Knowledge And Experience To Prepare Your Taxes And Provide You With Excellent Customer Service . My Services Are Provided Remotely Only. Phone Calls/Virtual Meetings Will Be Scheduled As Needed.",,54121101,Offices Of Certified Public Accountants,54121301,Tax Preparation Services,54121910,Other Accounting Services,,,872101,Accountants,202603,3
Len's Auto Repair Overland,LEN'S AUTO REPAIR INC,,8701 Lackland Rd,Overland,63114,St Louis,(314) 427-2330,Lensautorepairinc.Com,http://www.linkedin.com/company/autotalk-com,,,Jon,Mertz,Owner,Male,Western Europe,,,,44133011,Automotive Parts And Accessories Retailers,81111104,General Automotive Repair,81111408,Specialized Automotive Repair,81119101,Automotive Oil Change And Lubrication Shops,553111,Automobile Parts & Supplies-Retail-New,202605,43
Lens Masters,LENS MASTERS INC,,11309 Midland Blvd,Saint Louis,63114,St Louis,(314) 427-1660,Hhwstl.Com,,,,Berney,Berader,Manager,Male,Uncoded,,,,44912947,All Other Home Furnishings Retailers,42361047,"Electrical Apparatus And Equipment, Wiring Supplie",,,,,571926,Lighting Fixtures-Retail,202412,38
Leo Drey Pioneer Foundation,,,10 S Broadway # 550,Saint Louis,63102,St Louis City,(314) 241-5950,,,,,,,,,Uncoded,,,,54172006,Research And Development In The Social Sciences An,81341018,Civic And Social Organizations,,,,,873303,Foundation-Educ Philanthropic Research,202604,15
Less Annoying Software LLC,LESS ANNOYING SOFTWARE LLC,,1017 Olive St # 800,Saint Louis,63101,St Louis City,(314) 222-7644,Lessannoyingcrm.Com,,,,,,,,Uncoded,,,,51321005,Software Publishers,,,,,,,737206,Software/Application/Platform Publishing,202605,12
Lets Ride LLC,LETS RIDE LLC,,2690 Masterson Ave # 300,Saint Louis,63114,St Louis,(314) 427-9090,,,,,,,,,Uncoded,,,,48531002,Taxi And Ridesharing Services,44122708,"Motorcycle, Atv, And All Other Motor Vehicle Deale",,,,,412101,Taxicabs & Transportation Service,202507,11
Lets Talk Business LLC,LETS TALK BUSINESS LLC,,4923 Lilburn Ave,Saint Louis,63115,St Louis City,(314) 435-9314,Talkbizz.Com,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202603,3
Level On Locust,,,1010 Pine St,Saint Louis,63101,St Louis City,(314) 436-2800,,,https://www.facebook.com/levelonlocust,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202601,9
Lever1,,,1123 Locust St,Saint Louis,63101,St Louis City,(816) 994-1300,Lever1.Com,https://www.linkedin.com/company/perez-law-corporation-pc/,,,Erica,Brune,CEO,Female,Western Europe,,,,54121402,Payroll Services,,,,,,,872106,Payroll Preparation Service,202605,3
Leverage Dance Theater,,,3636 Texas Ave,Saint Louis,63118,St Louis City,(314) 884-1533,Leveragedancetheater.Squarespace.Com,,https://www.facebook.com/leveragedancetheater,,Diana,Barrios,Other,Female,Hispanic,,,,71111010,Theater Companies And Dinner Theaters,,,,,,,792233,Performing Arts,202607,14
Levi Ray & Shoup Inc,LEVI RAY & SHOUP INC,LEVI RAY & SHOUP INC,7317 Colgate Ave,Saint Louis,63130,St Louis,(217) 793-3800,Lrs.Com,,,,,,,,Uncoded,,,,51321005,Software Publishers,54151204,Computer Systems Design Services,,,,,737206,Software/Application/Platform Publishing,202605,9
Levine Hat Co,LEVINE HAT CO,,1416 Washington Ave,Saint Louis,63103,St Louis City,(314) 231-3359,Levinehat.Com,,https://www.facebook.com/levinehat,,Brandon,Smith,Sales,Male,Western Europe,,,,42435005,Clothing And Clothing Accessories Merchant Wholesa,45811002,Clothing And Clothing Accessories Retailers,45821007,Shoe Retailers,45811078,Clothing And Clothing Accessories Retailers,513606,Caps (Whls),202605,43
Levin's,,,1401 Washington Ave,Saint Louis,63103,St Louis City,(314) 436-0999,Levins.Com,,https://www.facebook.com/hoaglevins,,Bruce,Levin,President,Male,Not Available,,,,45811041,Clothing And Clothing Accessories Retailers,,,,,,,565101,Clothing-Retail,202510,42
Lewis & Clark Conoco,,PHILLIPS 66,9925 Lewis And Clark Blvd,Saint Louis,63136,St Louis,(314) 869-0473,Mybpstation.Com,,,,Jim,Lewis,Manager,Male,Western Europe,,,,45712003,Other Gasoline Stations,44513101,Convenience Retailers,45712006,Other Gasoline Stations,81111104,General Automotive Repair,554101,Service Stations-Gasoline & Oil,202601,22
Lewis Rice LLC,LEWIS RICE,LEWIS RICE LLC,600 Washington Ave # 2500,Saint Louis,63101,St Louis City,(314) 444-7600,Lewisrice.Com,https://www.linkedin.com/company/55931,,,Tom,Erb,CEO,Male,Western Europe,,"Founded IN 1909, Lewis, Rice & Fingersh, L.C. Is One Of The Leading Regional Law Firms IN The Midwest. Antitrust, Commercial Litigation, Construction Law And Health Care, Among Others Constitute Its Practice Areas. It Counsels A Broad Range Of Local, Regional And National Businesses As Well As Individuals. The Firm's Clients Include Banking Organizations, Manufacturers, Wholesalers, Retailers, Publishers, Broadcasters, Municipalities, Maritime Firms, Real Estate Brokers, Developers, Etc. Lewis Rice & Fingersh L.C. Has Affiliation With The International Lawyers Network. Midwest Real Estate News Ranked Lewis Rice & Fingersh L.C. As The Tenth Best Real Estate Firm IN The Midwest IN Their 2010 Best Of The Best Special Supplement. The Company Has Received Top Rankings From Chambers Usa. As Well.",,54111002,Offices Of Lawyers,51921009,Libraries And Archives,,,,,811103,Attorneys,202509,43
Lexitas,MIDWEST LITIGATION SVC INC,APAX PARTNERS LP,711 N 11th St,Saint Louis,63101,St Louis City,(417) 877-9700,Lexitaslegal.Com,,,,Deborah,Weaver,CEO,Female,Western Europe,,"Lexitas Offers Reliable And Local Court Reporters To The St. Louis, Missouri Area. As The Leading Provider Of Technology-Enabled Litigation Services, Lexitas Delivers Court Reporting, Record Retrieval, Process Service, And Legal Talent Solutions To Law Firms, Insurance Companies, And Corporations. We Make It A Priority To Understand Your Case-Specific Needs And Match You With A Highly-Qualified Freelance Court Reporter, Who Understands The Unique Terminology Of Your Case. Our Deposition Suites Are Also Beautifully Furnished And Provide A Private And Professional Setting For Your Proceedings. Contact Lexitas Today To Schedule Your Court Reporting Services OR Deposition Suite.",,56149201,Court Reporting And Stenotype Services,56149203,Court Reporting And Stenotype Services,56161109,Investigation And Personal Background Check Servic,54111002,Offices Of Lawyers,733801,Court & Convention Reporters,202512,19
LGC Hospitality,,LGC ASSOCIATES LLC,911 Washington Ave,Saint Louis,63101,St Louis City,(317) 569-0018,Lgcassociates.Com,,,,Jennifer,Sukup,Vice President,Female,Eastern European,,,,56131102,Employment Placement Agencies,72111001,Hotels (Except Casino Hotels) And Motels,54161207,Human Resources Consulting Services,,,736103,Employment Agencies & Opportunities,202504,9
LHB Industries,LHB INDUSTRIES INC,,8833 Fleischer Pl,Saint Louis,63134,St Louis,(314) 522-3141,Lhbindustries.Com,,,,Clint,Cruse,Manager,Male,Western Europe,,,,33999936,All Other Miscellaneous Manufacturing,,,,,,,399903,Manufacturers,202411,15
Liberty Bell Equipment Corp,LIBERTY BELL EQUIPMENT CORP,,810 N Jefferson Ave,Saint Louis,63106,St Louis City,(314) 588-1111,Medcocorp.Com,,,,Terry,Le Grand,Manager,Male,Western Europe,,,,42371031,Hardware Merchant Wholesalers,42312022,Motor Vehicle Supplies And New Parts Merchant Whol,44133011,Automotive Parts And Accessories Retailers,,,507213,Tools (Whls),202311,35
Liberty Dumpster,,,651-680 W Bud Avenue,Saint Louis,63145,St Louis,(314) 778-2660,Saintlouis.Libertydumpster.Com,,,,,,,,Uncoded,,,,56211901,Other Waste Collection,,,,,,,495302,Garbage Collection,202511,2
Liberty Sports Mfg Inc,LIBERTY SPORTS MFG INC,,3417 Ohio Ave,Saint Louis,63118,St Louis City,(314) 865-0155,,,https://facebook.com/people/liberty-sports-mfg/100067172032132/,,,,,,Uncoded,,,,33999936,All Other Miscellaneous Manufacturing,42391039,Sporting And Recreational Goods And Supplies Merch,45911023,Sporting Goods Retailers,,,399903,Manufacturers,202602,40
Liberty Tax,,NEXTPOINT FINANCIAL INC,2168 Chambers Rd,Saint Louis,63136,St Louis,(314) 593-2482,Libertytax.Com,,http://www.facebook.com/libertytax,,Barbara,Dunn,Site Manager,Female,Western Europe,,Liberty Tax Is A Full Service Income Tax Preparation Company. Visit Your Local Liberty Tax Office For Professional & Friendly Tax Preparation Help & Tax Classes To Help Maximize Your Refund!. Offering Expert Tax Preparation & Superior Customer Service.,,54121301,Tax Preparation Services,52394006,Portfolio Management And Investment Advice,54121910,Other Accounting Services,,,729101,Tax Return Preparation & Filing,202510,24
Liberty Tax,,NEXTPOINT FINANCIAL INC,3111 N Grand Blvd,Saint Louis,63107,St Louis City,(314) 300-0204,Libertytax.Com,,,,,,,,Uncoded,,,,54121301,Tax Preparation Services,,,,,,,729101,Tax Return Preparation & Filing,202604,5
Liberty Tax,,NEXTPOINT FINANCIAL INC,3609 S Grand Blvd,Saint Louis,63118,St Louis City,(314) 254-9981,Libertytax.Com,,http://www.facebook.com/libertytax,,Christine,Slaughter,Site Manager,Female,Western Europe,,Liberty Tax Is A Full Service Income Tax Preparation Company. Visit Your Local Liberty Tax Office For Professional & Friendly Tax Preparation Help & Tax Classes To Help Maximize Your Refund!. Offering Expert Tax Preparation & Superior Customer Service.,,54121301,Tax Preparation Services,52394006,Portfolio Management And Investment Advice,54121910,Other Accounting Services,,,729101,Tax Return Preparation & Filing,202510,15
Liberty Tax,,NEXTPOINT FINANCIAL INC,9195 West Florissant Ave,Saint Louis,63136,St Louis,(314) 696-6128,Libertytax.Com,,http://www.facebook.com/libertytax,,J C,Crane,Site Manager,Male,Western Europe,,Liberty Tax Is A Full Service Income Tax Preparation Company. Visit Your Local Ferguson MO Liberty Tax Office For Professional & Friendly Tax Preparation Help & Tax Classes To Help Maximize Your Refund!. Offering Expert Tax Preparation & Superior Customer Service. Office Hours Vary By Location.,,54121301,Tax Preparation Services,52394006,Portfolio Management And Investment Advice,54121910,Other Accounting Services,,,729101,Tax Return Preparation & Filing,202502,14
Liberty Tax Virtual Office,,NEXTPOINT FINANCIAL INC,,Saint Louis,63138,St Louis,(636) 728-9296,Libertytax.Com,,http://www.facebook.com/libertytax,,Bruce,Thompson,Owner,Male,Western Europe,,Liberty Tax Is A Full Service Income Tax Preparation Company. Visit Your Local Liberty Tax Office For Professional & Friendly Tax Preparation Help & Tax Classes To Help Maximize Your Refund!. Offering Expert Tax Preparation & Superior Customer Service.,,54121301,Tax Preparation Services,52394006,Portfolio Management And Investment Advice,54121910,Other Accounting Services,,,729101,Tax Return Preparation & Filing,202503,20
Liberty Tax Virtual Office,,NEXTPOINT FINANCIAL INC,St John Crossings,Saint Louis,63114,St Louis,(314) 736-3765,Libertytax.Com,,http://www.facebook.com/libertytax,,Andrew,Rimmel,Owner,Male,Western Europe,,Liberty Tax Is A Full Service Income Tax Preparation Company. Visit Your Local Liberty Tax Office For Professional & Friendly Tax Preparation Help & Tax Classes To Help Maximize Your Refund!. Offering Expert Tax Preparation & Superior Customer Service.,,54121301,Tax Preparation Services,52394006,Portfolio Management And Investment Advice,54111002,Offices Of Lawyers,54121910,Other Accounting Services,729101,Tax Return Preparation & Filing,202503,22
Life Happens Inc,LIFE HAPPENS CONSULTANTS,,911 Washington Ave # 501,Saint Louis,63101,St Louis City,(314) 574-4655,Lifehappenscc.Com,,,,,,,,Uncoded,,,,54161113,Administrative Management And General Management C,71151040,"Independent Artists, Writers, And Performers",71151051,"Independent Artists, Writers, And Performers",99999005,Unclassified Establishments,874264,Consulting Services,202605,16
Life Source Consultants,,,,Saint Louis,63135,St Louis,(314) 222-0457,Lifesourceconsultants.Org,,,,,,,,Uncoded,,,,54161830,Other Management Consulting Services,,,,,,,874899,Consultants-Business NEC,202206,11
Lifesafer Ignition Interlock,,LMG HOLDINGS,8595 Page Ave,Saint Louis,63114,St Louis,(314) 639-0233,Lifesafer.Com,,,,,,,,Uncoded,,"Lifesafer Ignition Interlock Is The Leading Ignition Interlock Provider Nationwide And Home To No-Call Install, The First Fully Online Installation Booking Tool. Lifesafers Locations Are MO Certified And Our Expert Technicians At 8595 Page Avenue Can Handle All Your Installation And Calibration Needs. Lifesafer Has Over 30 Years Of Ignition Interlock Experience And Has Helped Over 1.5 Million People Get Back On The Road Again.",,81111127,General Automotive Repair,33911315,Surgical Appliance And Supplies Manufacturing,42381036,Construction And Mining (Except Oil Well) Machiner,,,753834,Ignition Interlock Devices-Install & Svc,202511,3
Lighthouse Custom Upholstery,LIGHTHOUSE CUSTOM UPHOLSTERY LLC,,7900 N Broadway,Saint Louis,63147,St Louis City,(314) 328-3406,Lighthousecustomllc.Com,,,,,,,,Uncoded,,,,81142013,Reupholstery And Furniture Repair,,,,,,,764109,Upholsterers,202109,6
Lighthouse Groups LLC,LIGHTHOUSE GROUPS LLC,,11556 Philmar Ln,Saint Louis,63138,St Louis,(314) 629-2766,Lighthousegroups.Com,,,,Leon,Harris,Owner,Male,Western Europe,,Ipv Construction Provides General Engineering And Building Construction Services From Conception To Completion With Customer Satisfaction At The Forefront. With Our Combined Knowledge And Experience Of All Aspects Of Construction We Are Confident That We Can Meet Any Of Your Construction Needs.,,42345028,"Medical, Dental, And Hospital Equipment And Suppli",42391025,Sporting And Recreational Goods And Supplies Merch,,,,,504704,Physicians & Surgeons Equip & Supls-Whls,202603,15
Lila Gul Enterprises Inc,GUL LIALA ENTERPRISES INC,,137 N Oaks Plz,Saint Louis,63121,St Louis,(314) 389-0029,,,,,Gul,Lila,President,Male,Uncoded,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202504,15
Lilar Corp,LILAR CORP,,1820 S 3rd St,Saint Louis,63104,St Louis City,(314) 436-5050,Lilar.Com,,,,Jim,Stutz,Vice President,Male,Western Europe,,,,42512050,Wholesale Trade Agents And Brokers,42399019,Other Miscellaneous Durable Goods Merchant Wholesa,,,,,514102,Food Brokers (Whls),202607,43
Lillian Market,LILLIAN MARKET LLC,,5200 Hamilton Ave,Saint Louis,63136,St Louis,(314) 382-1500,,,,,Mohammed,Almuttan,Owner,Male,Middle Eastern,,,,44511003,Supermarkets And Other Grocery Retailers (Except C,,,,,,,541105,Grocers-Retail,202408,14
Lilly's Panaderia,LILLY'S PANADERIA INC,,2752 Cherokee St # A,Saint Louis,63118,St Louis City,(314) 240-8624,,,https://www.facebook.com/lillyspanaderia,,,,,,Uncoded,,,,31181102,Retail Bakeries,,,,,,,546102,Bakers-Retail,202604,10
